Date,Collected?,Depth_type,Depth_(cm),# Victorian Alpine Resorts - Daily Snow Depth Records - Lake Mountain 1993-2023. CC-BY Alpine Resorts Victoria
19/6/1997,Yes,Natural,8,
20/6/1997,Yes,Natural,7,
21/6/1997,Yes,Natural,6,
22/6/1997,Yes,Natural,4,
23/6/1997,Yes,Natural,3,
24/6/1997,Yes,Natural,0,
25/6/1997,Yes,Natural,3,
26/6/1997,Yes,Natural,2,
27/6/1997,Yes,Natural,0,
28/6/1997,Yes,Natural,0,
29/6/1997,Yes,Natural,0,
30/6/1997,Yes,Natural,0,
1/7/1997,Yes,Natural,0,
2/7/1997,Yes,Natural,0,
3/7/1997,Yes,Natural,0,
4/7/1997,Yes,Natural,0,
5/7/1997,Yes,Natural,0,
6/7/1997,Yes,Natural,0,
7/7/1997,Yes,Natural,0,
8/7/1997,Yes,Natural,0,
9/7/1997,Yes,Natural,5,
10/7/1997,Yes,Natural,12,
11/7/1997,Yes,Natural,20,
12/7/1997,Yes,Natural,20,
13/7/1997,Yes,Natural,20,
14/7/1997,Yes,Natural,20,
15/7/1997,Yes,Natural,19,
16/7/1997,Yes,Natural,35,
17/7/1997,Yes,Natural,40,
18/7/1997,Yes,Natural,40,
19/7/1997,Yes,Natural,39,
20/7/1997,Yes,Natural,39,
21/7/1997,Yes,Natural,30,
22/7/1997,Yes,Natural,25,
23/7/1997,Yes,Natural,21,
24/7/1997,Yes,Natural,20,
25/7/1997,Yes,Natural,15,
26/7/1997,Yes,Natural,15,
27/7/1997,Yes,Natural,10,
28/7/1997,Yes,Natural,5,
29/7/1997,Yes,Natural,7,
30/7/1997,Yes,Natural,14,
31/7/1997,Yes,Natural,12,
1/8/1997,Yes,Natural,10,
2/8/1997,Yes,Natural,8,
3/8/1997,Yes,Natural,6,
4/8/1997,Yes,Natural,6,
5/8/1997,Yes,Natural,5,
6/8/1997,Yes,Natural,4,
7/8/1997,Yes,Natural,2,
8/8/1997,Yes,Natural,12,
9/8/1997,Yes,Natural,25,
10/8/1997,Yes,Natural,25,
11/8/1997,Yes,Natural,25,
12/8/1997,Yes,Natural,33,
13/8/1997,Yes,Natural,38,
14/8/1997,Yes,Natural,36,
15/8/1997,Yes,Natural,34,
16/8/1997,Yes,Natural,30,
17/8/1997,Yes,Natural,25,
18/8/1997,Yes,Natural,30,
19/8/1997,Yes,Natural,28,
20/8/1997,Yes,Natural,34,
21/8/1997,Yes,Natural,30,
22/8/1997,Yes,Natural,25,
23/8/1997,Yes,Natural,20,
24/8/1997,Yes,Natural,50,
25/8/1997,Yes,Natural,60,
26/8/1997,Yes,Natural,70,
27/8/1997,Yes,Natural,70,
28/8/1997,Yes,Natural,70,
29/8/1997,Yes,Natural,70,
30/8/1997,Yes,Natural,70,
31/8/1997,Yes,Natural,70,
1/9/1997,Yes,Natural,45,
2/9/1997,Yes,Natural,45,
3/9/1997,Yes,Natural,20,
4/9/1997,Yes,Natural,15,
5/9/1997,Yes,Natural,10,
6/9/1997,Yes,Natural,10,
7/9/1997,Yes,Natural,10,
8/9/1997,Yes,Natural,8,
9/9/1997,Yes,Natural,8,
10/9/1997,Yes,Natural,6,
11/9/1997,Yes,Natural,6,
12/9/1997,Yes,Natural,5,
13/9/1997,Yes,Natural,5,
14/9/1997,Yes,Natural,4,
15/9/1997,Yes,Natural,0,
16/9/1997,Yes,Natural,0,
17/9/1997,Yes,Natural,0,
18/9/1997,Yes,Natural,0,
19/9/1997,Yes,Natural,0,
20/9/1997,Yes,Natural,0,
21/9/1997,Yes,Natural,0,
22/9/1997,Yes,Natural,0,
23/9/1997,Yes,Natural,0,
24/9/1997,Yes,Natural,0,
25/9/1997,Yes,Natural,0,
26/9/1997,Yes,Natural,0,
27/9/1997,Yes,Natural,0,
