Date,Collected?,Depth_type,Depth_(cm),,
23/7/1998,Yes,Natural,29,,
24/7/1998,Yes,Natural,28,,
25/7/1998,Yes,Natural,25,,
26/7/1998,Yes,Natural,23,,
27/7/1998,Yes,Natural,20,,
28/7/1998,Yes,Natural,0,,
29/7/1998,Yes,Natural,0,,
30/7/1998,Yes,Natural,0,,
31/7/1998,Yes,Natural,0,,
1/8/1998,Yes,Natural,58,,
2/8/1998,Yes,Natural,56,,
3/8/1998,Yes,Natural,56,,
4/8/1998,Yes,Natural,56,,
5/8/1998,Yes,Natural,56,,
6/8/1998,Yes,Natural,52,,
7/8/1998,Yes,Natural,52,,
8/8/1998,Yes,Natural,45,,
9/8/1998,Yes,Natural,43,,
10/8/1998,Yes,Natural,42,,
11/8/1998,Yes,Natural,40,,
12/8/1998,Yes,Natural,38,,
13/8/1998,Yes,Natural,38,,
14/8/1998,Yes,Natural,35,,
15/8/1998,Yes,Natural,34,,
16/8/1998,Yes,Natural,34,,
17/8/1998,Yes,Natural,44,,
18/8/1998,Yes,Natural,44,,
19/8/1998,Yes,Natural,42,,
20/8/1998,Yes,Natural,40,,
21/8/1998,Yes,Natural,37,,
22/8/1998,Yes,Natural,32,,
23/8/1998,Yes,Natural,0,,
24/8/1998,Yes,Natural,0,,
25/8/1998,Yes,Natural,0,,
26/8/1998,Yes,Natural,0,,
27/8/1998,Yes,Natural,0,,
28/8/1998,Yes,Natural,0,,
29/8/1998,Yes,Natural,0,,
30/8/1998,Yes,Natural,0,,
31/8/1998,Yes,Natural,0,,
1/9/1998,Yes,Natural,0,,
2/9/1998,Yes,Natural,0,,
3/9/1998,Yes,Natural,0,,
4/9/1998,Yes,Natural,0,,
5/9/1998,Yes,Natural,0,,
6/9/1998,Yes,Natural,0,,
7/9/1998,Yes,Natural,0,,
8/9/1998,Yes,Natural,0,,
9/9/1998,Yes,Natural,0,,
10/9/1998,Yes,Natural,0,,
